11,13,14,15,19,20,22,23,24,26,29,30,101,102,103,104,105,106,108,110,114,115,118
,,,,,,,,,,11.0,,,,,,,,,,,,
,0.0,,8.0,,,,,,,,,,,,,,,,3.0,,,
6.0,,6.0,10.0,12.0,2.0,2.0,6.0,2.0,2.0,4.0,,,2.0,2.0,2.0,2.0,,,35.0,3.0,8.0,
2.0,,2.0,4.0,2.0,,,,,,2.0,,4.0,,,6.0,4.0,,,2.0,2.0,2.0,
2.0,2.0,2.0,0.0,4.0,6.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,,,12.0,8.0,2.0,4.0,,2.0,2.0,
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,,,4.0,2.0,2.0,,8.0,2.0,4.0,
,2.0,,4.0,2.0,2.0,,6.0,,,2.0,,16.0,2.0,,16.0,6.0,,2.0,,,2.0,
4.0,2.0,4.0,10.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,4.0,0.0,,4.0,,,,6.0,2.0,2.0,
8.0,2.0,8.0,4.0,8.0,2.0,6.0,10.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,14.0,2.0,2.0,6.0,,11.0,4.0,
2.0,4.0,2.0,9.0,4.0,2.0,2.0,10.0,8.0,2.0,4.0,2.0,,,2.0,33.0,4.0,6.0,,,6.0,,
,,,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,
,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,
,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,
,,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,
,,,,,,,,,,0.0,,,,,,0.0,,,,,,
,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,
,,,,,,,,,,,,,,0.0,,,,,,,,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,
,,,0.0,,,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,58.0,,,,,23.0,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,
,,16.0,,32.0,8.0,,,,75.0,,,,,32.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,44.0,,
,,,202.0,,,,8.0,,,,,,,25.0,,,,,,277.0,,
,,,,,,,,,,,,,,,,,,29.0,,16.0,,14.0
,,,,184.0,9.0,,,,,,,,,18.0,,17.0,102.0,,,60.0,,
,,8.0,,,,,,,,,,,,6.0,,7.0,,,,,,
,,,,,,,,,,,,,,5.0,,,,,,,,
37.0,,,61.0,,,15.0,,,,17.0,,39.0,,,90.0,,80.0,,26.0,59.0,,
4.0,,,4.0,6.0,,,6.0,,,,,10.0,,2.0,,8.0,3.0,,,,4.0,
,,,,,,,,,6.0,2.0,,,,,,2.0,,,,,2.0,
,2.0,,2.0,2.0,2.0,,,,,4.0,,4.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,
2.0,2.0,,6.0,,6.0,,4.0,,,3.0,,4.0,,2.0,2.0,4.0,,,,2.0,,
2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,2.0,2.0,6.0,,,4.0,,4.0,2.0,,,,,
,4.0,,4.0,,,,,,2.0,2.0,2.0,,2.0,,,,2.0,,,2.0,2.0,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,4.0,2.0,,,2.0,,,2.0,2.0,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,9.0,2.0,2.0,2.0,2.0,,2.0,2.0,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,,,2.0,,
2.0,2.0,10.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,4.0,2.0,,2.0,,2.0,2.0,
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0
,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,
,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,
